id,name,age,nationality,jersey_number,foot,pos,captain,T_id,appearances,substitutions,goals,penalties,yellow_cards,red_cards
498,Theo Walcott,32,England,32,Right,RM,0,16,6,6,0,0,0,0
499,Kyle Walker-Peters,24,England,2,Right,RB,0,16,33,4,3,0,6,0
500,James Ward-Prowse,26,England,8,Right,CM,1,16,41,1,11,5,3,1
501,Dele Alli,25,England,20,Right,CAM,0,17,13,5,2,2,2,0
502,Rodrigo Bentancur,26,France,30,Right,LW,0,17,16,2,0,0,6,0
503,Steven Bergwijn,23,Netherlands,23,Right,LM,0,17,8,24,4,0,1,0
504,Bryan Gil,20,Spain,11,Left,LM,0,17,9,11,0,0,3,0
505,Cameron Carter-Vickers,26,Belgium,38,Right,RB,0,17,1,0,0,0,0,0
506,Jack Clarke,20,England,47,Right,RM,0,17,0,1,0,0,0,0
507,Ben Davies,28,Wales,33,Left,LB,0,17,41,2,1,0,7,0
508,Eric Dier,27,England,15,Right,CB,0,17,39,1,0,0,0,0
509,Matt Doherty,29,Republic of Ireland,2,Right,RB,0,17,19,7,2,0,0,0
510,Emerson Royal,22,Brazil,12,Right,RB,0,17,31,10,1,0,5,0
511,Pierluigi Gollini,26,Italy,22,Right,GK,0,17,10,0,0,0,0,0
512,Son Heung-min,28,Korea Republic,7,Right,LM,0,17,39,6,24,0,3,0
513,Pierre-Emile Hojbjerg,25,Denmark,5,Right,CDM,0,17,43,5,3,0,3,0
514,Nile John,18,England,43,Right,CAM,0,17,1,0,0,0,0,0
515,Harry Kane,27,England,10,Right,ST,0,17,47,3,27,4,5,0
516,Dejan Kulusekvski,31,Spain,21,Right,ST,0,17,15,5,5,0,3,0
517,Hugo Lloris,34,France,1,Left,GK,1,17,43,0,0,0,2,0
518,J'Neil Lloyd-Bennett,23,Portugal,56,Left,CAM,0,17,0,1,0,0,0,0
519,Giovani Lo Celso,25,Argentina,18,Left,CM,0,17,10,9,2,0,0,0
520,Lucas Moura,28,Brazil,27,Right,RM,0,17,26,19,6,0,4,0
521,Tanguy Ndombele,24,France,28,Right,CAM,0,17,10,6,2,0,2,0
522,Maksim Paskotši,18,Estonia,48,Right,RB,0,17,0,1,0,0,0,0
523,Joe Rodon,23,Wales,14,Right,CB,0,17,5,5,0,0,0,0
524,Cristian Romero,23,Argentina,4,Right,CB,0,17,29,1,1,0,10,1
525,Davinson Sanchez,25,Colombia,6,Right,CB,0,17,25,7,2,0,4,0
526,Dane Scarlett,17,England,44,Right,ST,0,17,3,4,0,0,0,0
527,Sergio Reguilon,24,Spain,3,Left,LB,0,17,26,5,2,0,4,0
528,Ryan Sessegnon,21,England,19,Left,LWB,0,17,18,3,0,0,2,1
529,Oliver Skipp,20,England,29,Right,CDM,0,17,22,6,0,0,7,0
530,Japhet Tanganga,22,England,25,Right,RB,0,17,17,2,0,0,2,1
531,Harry Winks,25,England,8,Right,CDM,0,17,17,13,1,0,2,0
532,Dan Bachmann,26,Austria,26,Right,GK,0,18,13,0,0,0,0,0
